id,name,score,score2
218,Student_218,84,66
219,Student_219,50,62
220,Student_220,100,78
221,Student_221,94,82
222,Student_222,81,62
223,Student_223,76,57
224,Student_224,92,54
225,Student_225,89,82
226,Student_226,71,57
227,Student_227,97,69
228,Student_228,65,85
229,Student_229,97,53
230,Student_230,92,90
231,Student_231,59,63
232,Student_232,65,62
233,Student_233,78,95
234,Student_234,86,99
235,Student_235,98,99
236,Student_236,65,54
237,Student_237,66,88
238,Student_238,63,71
239,Student_239,88,70
240,Student_240,63,61
241,Student_241,91,57
242,Student_242,97,67
243,Student_243,80,85
244,Student_244,72,63
245,Student_245,70,91
246,Student_246,60,77
247,Student_247,53,86
248,Student_248,99,88
249,Student_249,65,57
250,Student_250,68,54
251,Student_251,100,66
252,Student_252,91,89
253,Student_253,76,66
254,Student_254,71,62
255,Student_255,80,75
256,Student_256,70,66
257,Student_257,98,86
258,Student_258,74,83
259,Student_259,65,58
260,Student_260,93,96
261,Student_261,54,58
262,Student_262,78,56
263,Student_263,68,55
264,Student_264,89,60
265,Student_265,59,84
266,Student_266,100,94
267,Student_267,80,78
268,Student_268,84,84
269,Student_269,55,96
270,Student_270,53,78
271,Student_271,74,75
272,Student_272,61,66
273,Student_273,76,71
274,Student_274,89,91
275,Student_275,60,79
276,Student_276,63,99
277,Student_277,71,69
278,Student_278,61,86
279,Student_279,93,76
280,Student_280,87,85
281,Student_281,71,64
282,Student_282,56,75
283,Student_283,92,62
284,Student_284,63,80
285,Student_285,58,79
286,Student_286,91,100
287,Student_287,96,65
288,Student_288,96,83
289,Student_289,71,95
290,Student_290,51,56
291,Student_291,74,77
292,Student_292,50,96
293,Student_293,84,94
294,Student_294,53,54
295,Student_295,90,61
296,Student_296,73,92
297,Student_297,61,62
298,Student_298,50,63
299,Student_299,91,79
300,Student_300,94,50
301,Student_301,87,97
302,Student_302,56,50
303,Student_303,58,78
304,Student_304,69,60
305,Student_305,75,50
306,Student_306,55,67
307,Student_307,54,78
308,Student_308,75,72
309,Student_309,79,76
310,Student_310,92,71
311,Student_311,65,76
312,Student_312,70,74
313,Student_313,86,69
314,Student_314,76,91
315,Student_315,53,80
316,Student_316,63,84
317,Student_317,82,63
318,Student_318,68,56
319,Student_319,54,71
320,Student_320,77,90
321,Student_321,70,89
322,Student_322,77,83
323,Student_323,83,92
324,Student_324,56,50
325,Student_325,83,89
326,Student_326,72,99
327,Student_327,83,86
328,Student_328,55,63
329,Student_329,60,54
330,Student_330,60,67
331,Student_331,60,68
332,Student_332,72,92
333,Student_333,78,56
334,Student_334,88,99
335,Student_335,55,91
336,Student_336,66,100
337,Student_337,71,80
338,Student_338,53,50
339,Student_339,60,82
340,Student_340,97,81
341,Student_341,54,65
342,Student_342,84,50
343,Student_343,54,60
344,Student_344,57,54
345,Student_345,51,70
346,Student_346,75,89
347,Student_347,95,86
348,Student_348,71,87
349,Student_349,65,89
350,Student_350,84,59
351,Student_351,76,69
352,Student_352,93,72
353,Student_353,93,100
354,Student_354,63,69
355,Student_355,53,100
356,Student_356,75,51
357,Student_357,96,96
358,Student_358,67,69
359,Student_359,71,59
360,Student_360,70,86
361,Student_361,51,93
362,Student_362,88,95
363,Student_363,66,99
364,Student_364,65,77
365,Student_365,86,96
366,Student_366,71,74
367,Student_367,78,91
368,Student_368,88,83
369,Student_369,51,64
370,Student_370,56,75
371,Student_371,95,68
372,Student_372,71,88
373,Student_373,70,76
374,Student_374,70,94
375,Student_375,57,54
376,Student_376,71,75
377,Student_377,66,92
378,Student_378,79,72
379,Student_379,52,78
380,Student_380,89,64
381,Student_381,83,90
382,Student_382,83,50
383,Student_383,82,88
384,Student_384,76,99
385,Student_385,53,62
386,Student_386,76,71
387,Student_387,100,56
388,Student_388,87,73
389,Student_389,100,50
390,Student_390,89,62
391,Student_391,61,67
392,Student_392,68,59
393,Student_393,63,80
394,Student_394,79,54
395,Student_395,75,93
396,Student_396,67,57
397,Student_397,72,65
398,Student_398,62,97
399,Student_399,67,69
400,Student_400,81,86
401,Student_401,80,78
402,Student_402,80,68
403,Student_403,87,95
404,Student_404,77,84
405,Student_405,60,91
406,Student_406,98,81
407,Student_407,54,66
408,Student_408,97,63
409,Student_409,86,80
410,Student_410,54,100
411,Student_411,64,77
412,Student_412,63,90
413,Student_413,70,91
414,Student_414,61,60
415,Student_415,72,50
416,Student_416,93,94
417,Student_417,87,75
418,Student_418,79,91
419,Student_419,86,89
420,Student_420,73,76
421,Student_421,67,89
422,Student_422,53,66
423,Student_423,62,69
424,Student_424,56,95
425,Student_425,88,58
426,Student_426,71,53
427,Student_427,61,90
428,Student_428,56,88
429,Student_429,99,63
430,Student_430,55,58
431,Student_431,100,82
432,Student_432,64,99
433,Student_433,51,84
434,Student_434,69,52
435,Student_435,84,93
436,Student_436,63,96
437,Student_437,83,87
438,Student_438,78,85
439,Student_439,54,80
440,Student_440,85,82
441,Student_441,65,73
442,Student_442,78,91
443,Student_443,77,90
444,Student_444,90,61
445,Student_445,85,57
446,Student_446,60,84
447,Student_447,81,76
448,Student_448,96,65
449,Student_449,91,70
450,Student_450,58,72
451,Student_451,62,69
452,Student_452,69,87
453,Student_453,68,71
454,Student_454,99,97
455,Student_455,80,74
456,Student_456,96,69
457,Student_457,58,73
458,Student_458,67,61
459,Student_459,69,50
460,Student_460,77,61
461,Student_461,83,50
462,Student_462,65,67
463,Student_463,97,88
464,Student_464,67,57
465,Student_465,58,68
466,Student_466,65,76
467,Student_467,91,100
468,Student_468,60,69
469,Student_469,61,66
470,Student_470,85,54
471,Student_471,83,55
472,Student_472,73,86
473,Student_473,88,56
474,Student_474,77,62
475,Student_475,95,59
476,Student_476,55,67
477,Student_477,86,69
478,Student_478,67,83
479,Student_479,54,72
480,Student_480,72,84
481,Student_481,62,68
482,Student_482,72,90
483,Student_483,91,55
484,Student_484,75,74
485,Student_485,68,96
486,Student_486,84,77
487,Student_487,85,64
488,Student_488,92,85
489,Student_489,67,58
490,Student_490,83,100
491,Student_491,55,68
492,Student_492,59,74
493,Student_493,83,97
494,Student_494,51,66
495,Student_495,91,72
496,Student_496,61,67
497,Student_497,93,97
498,Student_498,55,67
499,Student_499,81,57
500,Student_500,91,94
501,Student_501,55,81
502,Student_502,75,89
503,Student_503,96,52
504,Student_504,69,60
505,Student_505,88,73
506,Student_506,82,63
507,Student_507,88,56
508,Student_508,83,83
509,Student_509,74,86
510,Student_510,65,51
511,Student_511,86,61
512,Student_512,67,91
513,Student_513,72,52
514,Student_514,56,94
515,Student_515,56,53
516,Student_516,64,50
517,Student_517,87,68
518,Student_518,92,82
519,Student_519,54,74
520,Student_520,67,57
521,Student_521,83,69
522,Student_522,67,57
523,Student_523,64,58
524,Student_524,85,56
525,Student_525,62,79
526,Student_526,75,98
527,Student_527,82,98
528,Student_528,78,82
529,Student_529,59,73
530,Student_530,82,99
531,Student_531,67,58
532,Student_532,77,100
533,Student_533,61,51
534,Student_534,83,93
535,Student_535,71,84
536,Student_536,82,95
537,Student_537,71,60
538,Student_538,66,98
539,Student_539,59,61
540,Student_540,60,100
541,Student_541,53,85
542,Student_542,74,57
543,Student_543,100,81
544,Student_544,70,50
545,Student_545,85,51
546,Student_546,67,57
547,Student_547,98,55
548,Student_548,100,81
549,Student_549,59,88
550,Student_550,83,85
551,Student_551,90,87
552,Student_552,55,58
553,Student_553,67,66
554,Student_554,63,81
555,Student_555,52,50
556,Student_556,93,82
557,Student_557,62,75
558,Student_558,50,78
559,Student_559,60,57
560,Student_560,90,85
561,Student_561,91,64
562,Student_562,85,59
563,Student_563,92,63
564,Student_564,77,87
565,Student_565,83,83
566,Student_566,58,79
567,Student_567,52,67
568,Student_568,97,59
569,Student_569,95,97
570,Student_570,93,92
571,Student_571,85,84
572,Student_572,63,69
573,Student_573,62,55
574,Student_574,54,59
575,Student_575,75,67
576,Student_576,58,69
577,Student_577,68,92
578,Student_578,58,81
579,Student_579,81,98
580,Student_580,63,80
581,Student_581,81,58
582,Student_582,54,51
583,Student_583,94,100
584,Student_584,62,54
585,Student_585,60,76
586,Student_586,69,82
587,Student_587,99,59
588,Student_588,90,90
589,Student_589,53,72
590,Student_590,70,86
591,Student_591,53,90
592,Student_592,82,62
593,Student_593,80,56
594,Student_594,63,85
595,Student_595,78,90
596,Student_596,96,97
597,Student_597,54,72
598,Student_598,81,82
599,Student_599,96,92
600,Student_600,70,98
601,Student_601,91,78
602,Student_602,68,72
603,Student_603,98,55
604,Student_604,55,72
605,Student_605,66,52
606,Student_606,66,59
607,Student_607,59,72
608,Student_608,53,68
609,Student_609,78,65
610,Student_610,71,95
611,Student_611,75,65
612,Student_612,84,93
613,Student_613,78,69
614,Student_614,95,66
615,Student_615,82,90
616,Student_616,75,84
617,Student_617,94,77
618,Student_618,80,82
619,Student_619,82,84
620,Student_620,63,50
621,Student_621,99,51
622,Student_622,53,86
623,Student_623,59,63
624,Student_624,87,68
625,Student_625,86,84
626,Student_626,50,65
627,Student_627,82,87
628,Student_628,92,71
629,Student_629,75,93
630,Student_630,78,56
631,Student_631,58,77
632,Student_632,94,60
633,Student_633,74,93
634,Student_634,91,85
635,Student_635,68,93
636,Student_636,56,71
637,Student_637,61,65
638,Student_638,67,72
639,Student_639,87,52
640,Student_640,63,54
641,Student_641,93,58
642,Student_642,81,84
643,Student_643,57,96
644,Student_644,93,58
645,Student_645,63,54
646,Student_646,87,60
647,Student_647,100,63
648,Student_648,99,82
649,Student_649,86,66
650,Student_650,94,94
651,Student_651,59,73
652,Student_652,86,93
653,Student_653,96,76
654,Student_654,82,73
655,Student_655,96,90
656,Student_656,74,90
657,Student_657,58,96
658,Student_658,73,59
659,Student_659,52,71
660,Student_660,70,68
661,Student_661,98,56
662,Student_662,72,68
663,Student_663,50,76
664,Student_664,97,94
665,Student_665,53,94
666,Student_666,94,61
667,Student_667,89,73
668,Student_668,67,88
669,Student_669,88,92
670,Student_670,97,79
671,Student_671,71,65
672,Student_672,67,70
673,Student_673,52,58
674,Student_674,97,78
675,Student_675,75,100
676,Student_676,66,76
677,Student_677,50,65
678,Student_678,91,54
679,Student_679,53,67
680,Student_680,64,64
681,Student_681,51,52
682,Student_682,68,100
683,Student_683,81,96
684,Student_684,68,52
685,Student_685,81,69
686,Student_686,62,94
687,Student_687,56,90
688,Student_688,60,76
689,Student_689,81,98
690,Student_690,98,59
691,Student_691,75,55
692,Student_692,85,99
693,Student_693,80,80
694,Student_694,87,81
695,Student_695,62,85
696,Student_696,64,98
697,Student_697,66,53
698,Student_698,96,68
699,Student_699,97,86
700,Student_700,57,54
701,Student_701,74,78
702,Student_702,61,67
703,Student_703,85,84
704,Student_704,53,77
705,Student_705,53,58
706,Student_706,93,75
707,Student_707,70,80
708,Student_708,85,62
709,Student_709,100,94
710,Student_710,81,64
711,Student_711,52,81
712,Student_712,54,88
713,Student_713,78,98
714,Student_714,64,61
715,Student_715,52,92
716,Student_716,57,53
717,Student_717,92,71
718,Student_718,56,98
719,Student_719,57,56
720,Student_720,93,53
721,Student_721,57,87
722,Student_722,97,58
723,Student_723,78,86
724,Student_724,64,56
725,Student_725,56,82
726,Student_726,74,55
727,Student_727,77,75
728,Student_728,85,70
729,Student_729,55,79
730,Student_730,59,59
731,Student_731,50,56
732,Student_732,88,64
733,Student_733,77,100
734,Student_734,76,90
735,Student_735,98,50
736,Student_736,84,59
737,Student_737,79,60
738,Student_738,64,55
739,Student_739,92,73
740,Student_740,81,77
741,Student_741,51,71
742,Student_742,99,91
743,Student_743,85,51
744,Student_744,50,70
745,Student_745,65,68
746,Student_746,59,59
747,Student_747,66,81
748,Student_748,50,56
749,Student_749,92,76
750,Student_750,54,64
751,Student_751,87,80
752,Student_752,93,100
753,Student_753,96,55
754,Student_754,68,68
755,Student_755,99,84
756,Student_756,56,87
757,Student_757,81,80
758,Student_758,61,79
759,Student_759,92,80
760,Student_760,52,100
761,Student_761,91,68
762,Student_762,91,97
763,Student_763,65,79
764,Student_764,98,79
765,Student_765,50,80
766,Student_766,55,96
767,Student_767,70,99
768,Student_768,94,89
769,Student_769,59,72
770,Student_770,100,99
771,Student_771,68,85
772,Student_772,86,55
773,Student_773,64,82
774,Student_774,54,64
775,Student_775,89,86
776,Student_776,92,75
777,Student_777,81,72
778,Student_778,86,67
779,Student_779,58,65
780,Student_780,61,79
781,Student_781,51,92
782,Student_782,78,77
783,Student_783,70,63
784,Student_784,62,77
785,Student_785,55,65
786,Student_786,100,51
787,Student_787,54,56
788,Student_788,66,99
789,Student_789,69,76
790,Student_790,95,86
791,Student_791,81,59
792,Student_792,93,65
793,Student_793,83,56
794,Student_794,92,64
795,Student_795,61,89
796,Student_796,73,50
797,Student_797,72,56
798,Student_798,59,68
799,Student_799,70,79
800,Student_800,90,69
801,Student_801,78,58
802,Student_802,84,61
803,Student_803,76,56
804,Student_804,75,69
805,Student_805,77,75
806,Student_806,85,82
807,Student_807,56,99
808,Student_808,73,67
809,Student_809,67,75
810,Student_810,73,79
811,Student_811,76,87
812,Student_812,77,86
813,Student_813,64,91
814,Student_814,72,81
815,Student_815,83,91
816,Student_816,91,88
817,Student_817,81,78
818,Student_818,92,64
819,Student_819,76,81
820,Student_820,63,79
821,Student_821,78,85
822,Student_822,95,70
823,Student_823,81,64
824,Student_824,59,70
825,Student_825,100,86
826,Student_826,93,88
827,Student_827,55,79
828,Student_828,55,56
829,Student_829,68,92
830,Student_830,80,61
831,Student_831,73,55
832,Student_832,56,54
833,Student_833,76,100
834,Student_834,98,86
835,Student_835,88,80
836,Student_836,67,90
837,Student_837,68,82
838,Student_838,84,62
839,Student_839,74,51
840,Student_840,68,61
841,Student_841,55,52
842,Student_842,88,80
843,Student_843,59,92
844,Student_844,94,73
845,Student_845,81,87
846,Student_846,82,79
847,Student_847,78,98
848,Student_848,75,95
849,Student_849,51,50
850,Student_850,71,68
851,Student_851,68,96
852,Student_852,96,91
853,Student_853,95,68
854,Student_854,61,59
855,Student_855,50,73
856,Student_856,91,83
857,Student_857,93,68
858,Student_858,77,84
859,Student_859,80,95
860,Student_860,91,96
861,Student_861,92,79
862,Student_862,91,62
863,Student_863,94,82
864,Student_864,93,65
865,Student_865,99,73
866,Student_866,93,61
867,Student_867,86,84
868,Student_868,88,83
869,Student_869,94,62
870,Student_870,71,60
871,Student_871,100,57
872,Student_872,60,54
873,Student_873,65,98
874,Student_874,60,85
875,Student_875,85,84
876,Student_876,98,77
877,Student_877,72,65
878,Student_878,76,73
879,Student_879,96,51
880,Student_880,65,77
881,Student_881,56,53
882,Student_882,88,99
883,Student_883,50,94
884,Student_884,53,87
885,Student_885,59,70
886,Student_886,80,52
887,Student_887,91,70
888,Student_888,80,55
889,Student_889,58,99
890,Student_890,78,62
891,Student_891,98,80
892,Student_892,57,91
893,Student_893,60,55
894,Student_894,67,97
895,Student_895,97,77
896,Student_896,56,71
897,Student_897,93,94
898,Student_898,97,97
899,Student_899,84,99
900,Student_900,59,99
901,Student_901,82,99
902,Student_902,99,85
903,Student_903,69,70
904,Student_904,94,54
905,Student_905,52,100
906,Student_906,66,98
907,Student_907,89,81
908,Student_908,98,67
909,Student_909,86,65
910,Student_910,69,90
911,Student_911,65,81
912,Student_912,69,69
913,Student_913,57,92
914,Student_914,80,73
915,Student_915,82,60
916,Student_916,62,98
917,Student_917,60,51
918,Student_918,83,54
919,Student_919,85,81
920,Student_920,62,97
921,Student_921,78,60
922,Student_922,65,57
923,Student_923,87,58
924,Student_924,93,91
925,Student_925,64,94
926,Student_926,55,89
927,Student_927,97,90
928,Student_928,73,65
929,Student_929,57,94
930,Student_930,86,83
931,Student_931,69,73
932,Student_932,78,62
933,Student_933,80,73
934,Student_934,72,99
935,Student_935,53,77
936,Student_936,100,60
937,Student_937,94,54
938,Student_938,50,55
939,Student_939,81,86
940,Student_940,88,95
941,Student_941,98,80
942,Student_942,78,64
943,Student_943,58,56
944,Student_944,84,75
945,Student_945,72,76
946,Student_946,54,72
947,Student_947,98,56
948,Student_948,78,94
949,Student_949,86,80
950,Student_950,73,78
951,Student_951,79,75
952,Student_952,93,90
953,Student_953,61,75
954,Student_954,68,54
955,Student_955,60,96
956,Student_956,95,83
957,Student_957,62,53
958,Student_958,98,59
959,Student_959,90,90
960,Student_960,100,58
961,Student_961,92,60
962,Student_962,66,95
963,Student_963,69,72
964,Student_964,81,83
965,Student_965,70,50
966,Student_966,50,56
967,Student_967,71,83
968,Student_968,88,95
969,Student_969,59,60
970,Student_970,84,100
971,Student_971,82,66
972,Student_972,96,96
973,Student_973,98,90
974,Student_974,82,97
975,Student_975,50,55
976,Student_976,84,94
977,Student_977,81,85
978,Student_978,79,62
979,Student_979,84,63
980,Student_980,87,66
981,Student_981,75,76
982,Student_982,52,95
983,Student_983,78,51
984,Student_984,78,53
985,Student_985,86,54
986,Student_986,85,95
987,Student_987,74,63
988,Student_988,97,73
989,Student_989,84,73
990,Student_990,74,81
991,Student_991,74,96
992,Student_992,65,82
993,Student_993,58,58
994,Student_994,70,70
995,Student_995,91,58
996,Student_996,86,62
997,Student_997,80,87
998,Student_998,67,79
999,Student_999,92,94
1000,Student_1000,100,93
1001,Student_1001,71,58
1002,Student_1002,54,72
1003,Student_1003,76,59
1004,Student_1004,76,98
1005,Student_1005,75,100
1006,Student_1006,52,77
1007,Student_1007,61,86
1008,Student_1008,74,70
1009,Student_1009,72,98
1010,Student_1010,64,76
1011,Student_1011,79,85
1012,Student_1012,98,65
1013,Student_1013,55,97
1014,Student_1014,86,80
1015,Student_1015,87,50
1016,Student_1016,99,100
1017,Student_1017,97,62
1018,Student_1018,69,51
1019,Student_1019,66,61
1020,Student_1020,85,88
1021,Student_1021,79,76
1022,Student_1022,80,90
1023,Student_1023,68,61
1024,Student_1024,60,61
1025,Student_1025,75,85
1026,Student_1026,54,87
1027,Student_1027,82,69
1028,Student_1028,86,80
1029,Student_1029,66,89
1030,Student_1030,82,82
1031,Student_1031,59,99
1032,Student_1032,89,57
1033,Student_1033,94,79
1034,Student_1034,65,82
1035,Student_1035,51,67
1036,Student_1036,72,62
1037,Student_1037,91,51
1038,Student_1038,91,77
1039,Student_1039,65,50
1040,Student_1040,80,74
1041,Student_1041,55,54
1042,Student_1042,64,92
1043,Student_1043,87,91
1044,Student_1044,95,74
1045,Student_1045,50,69
1046,Student_1046,66,69
1047,Student_1047,70,57
1048,Student_1048,81,76
1049,Student_1049,71,63
1050,Student_1050,81,70
1051,Student_1051,73,65
1052,Student_1052,80,76
1053,Student_1053,79,56
1054,Student_1054,74,85
1055,Student_1055,53,99
1056,Student_1056,63,52
1057,Student_1057,89,50
1058,Student_1058,98,86
1059,Student_1059,57,73
1060,Student_1060,99,76
1061,Student_1061,84,91
1062,Student_1062,96,63
1063,Student_1063,100,92
1064,Student_1064,91,72
1065,Student_1065,81,91
1066,Student_1066,80,54
1067,Student_1067,81,53
1068,Student_1068,69,53
1069,Student_1069,56,85
1070,Student_1070,71,54
1071,Student_1071,66,74
1072,Student_1072,97,79
1073,Student_1073,71,95
1074,Student_1074,86,75
1075,Student_1075,86,55
1076,Student_1076,81,97
1077,Student_1077,53,65
1078,Student_1078,57,76
1079,Student_1079,93,79
1080,Student_1080,64,70
1081,Student_1081,53,80
1082,Student_1082,87,59
1083,Student_1083,91,53
1084,Student_1084,58,76
1085,Student_1085,72,91
1086,Student_1086,56,66
1087,Student_1087,80,86
1088,Student_1088,88,77
1089,Student_1089,79,52
1090,Student_1090,98,81
1091,Student_1091,57,94
1092,Student_1092,56,81
1093,Student_1093,69,71
1094,Student_1094,65,72
1095,Student_1095,65,57
1096,Student_1096,57,56
1097,Student_1097,90,50
1098,Student_1098,86,81
1099,Student_1099,69,79
1100,Student_1100,75,99
1101,Student_1101,54,93
1102,Student_1102,88,67
1103,Student_1103,96,85
1104,Student_1104,53,93
1105,Student_1105,98,70
1106,Student_1106,79,90
1107,Student_1107,87,78
1108,Student_1108,63,60
1109,Student_1109,78,95
1110,Student_1110,93,94
1111,Student_1111,52,71
1112,Student_1112,91,72
1113,Student_1113,73,52
1114,Student_1114,55,79
1115,Student_1115,84,58
1116,Student_1116,86,83
1117,Student_1117,55,91
1118,Student_1118,64,54
1119,Student_1119,79,96
1120,Student_1120,94,75
1121,Student_1121,68,52
1122,Student_1122,94,84
1123,Student_1123,90,94
1124,Student_1124,79,65
1125,Student_1125,67,51
1126,Student_1126,100,92
1127,Student_1127,82,91
1128,Student_1128,59,94
1129,Student_1129,67,51
1130,Student_1130,75,56
1131,Student_1131,62,90
1132,Student_1132,87,50
1133,Student_1133,74,84
1134,Student_1134,92,60
1135,Student_1135,81,69
1136,Student_1136,80,58
1137,Student_1137,81,67
1138,Student_1138,97,90
1139,Student_1139,67,50
1140,Student_1140,83,52
1141,Student_1141,76,88
1142,Student_1142,67,62
1143,Student_1143,98,73
1144,Student_1144,71,72
1145,Student_1145,60,80
1146,Student_1146,55,70
1147,Student_1147,68,54
1148,Student_1148,72,89
1149,Student_1149,60,92
1150,Student_1150,74,99
1151,Student_1151,88,91
1152,Student_1152,100,83
1153,Student_1153,99,72
1154,Student_1154,90,55
1155,Student_1155,95,75
1156,Student_1156,100,58
1157,Student_1157,78,59
1158,Student_1158,97,63
1159,Student_1159,90,52
1160,Student_1160,71,52
1161,Student_1161,65,51
1162,Student_1162,93,98
1163,Student_1163,51,89
1164,Student_1164,53,68
1165,Student_1165,99,66
1166,Student_1166,81,91
1167,Student_1167,98,73
1168,Student_1168,65,87
1169,Student_1169,58,52
1170,Student_1170,100,67
1171,Student_1171,59,83
1172,Student_1172,58,75
1173,Student_1173,65,93
1174,Student_1174,81,65
1175,Student_1175,64,91
1176,Student_1176,88,62
1177,Student_1177,97,87
1178,Student_1178,96,80
1179,Student_1179,57,53
1180,Student_1180,94,84
1181,Student_1181,83,64
1182,Student_1182,73,83
1183,Student_1183,96,50
1184,Student_1184,53,53
1185,Student_1185,98,63
1186,Student_1186,76,65
1187,Student_1187,90,67
1188,Student_1188,57,68
1189,Student_1189,85,54
1190,Student_1190,73,79
1191,Student_1191,57,89
1192,Student_1192,92,65
1193,Student_1193,87,80
1194,Student_1194,89,95
1195,Student_1195,59,82
1196,Student_1196,63,86
1197,Student_1197,87,97
1198,Student_1198,63,83
1199,Student_1199,100,67
1200,Student_1200,91,54
1201,Student_1201,57,61
1202,Student_1202,91,61
1203,Student_1203,63,87
1204,Student_1204,52,95
1205,Student_1205,55,53
1206,Student_1206,58,72
1207,Student_1207,58,88
1208,Student_1208,58,54
1209,Student_1209,72,64
1210,Student_1210,52,95
1211,Student_1211,79,51
1212,Student_1212,52,57
1213,Student_1213,83,76
1214,Student_1214,85,83
1215,Student_1215,94,67
1216,Student_1216,82,76
1217,Student_1217,85,96
1218,Student_1218,69,73
1219,Student_1219,58,51
1220,Student_1220,86,59
1221,Student_1221,75,70
1222,Student_1222,83,83
1223,Student_1223,77,91
1224,Student_1224,83,64
1225,Student_1225,100,77
1226,Student_1226,64,66
1227,Student_1227,66,58
1228,Student_1228,54,74
1229,Student_1229,65,96
